venue_name,city,state_code,capacity,capacity_type,source_url,notes
Middle East - Zuzu,Cambridge,MA,100,approx,https://www.indieonthemove.com/venues/the-middle-east-cambridge-massachusetts,ZuZu room of Middle East complex
The Fillmore Silver Spring,Silver Spring,MD,2000,stated,https://silverspringdowntown.com/go/the-fillmore-silver-spring,Live Nation venue
Blind Pig,Ann Arbor,MI,400,stated,https://en.wikipedia.org/wiki/Blind_Pig_(venue),since 1971; Jack White/Nirvana history
The Pyramid Scheme,Grand Rapids,MI,420,stated,https://pyramidschemebar.com/about/,420 standing / 210 seated per venue
The Orange Peel,Asheville,NC,1050,stated,https://theorangepeel.net/info/,1050 standing per venue; some press says ~1100
The Underground,Charlotte,NC,600,approx,https://specialevents.livenation.com/venues/the-underground,Live Nation private-events reception max 600 (AvidXchange Music Factory); concert GA capacity may differ
Jimmy's Jazz and Blues Club,Portsmouth,NH,600,stated,https://jimmysoncongress.com/the-club/,600 total; seated-show sellout ~350
The Wonder Bar,Asbury Park,NJ,2000,stated,http://apboardwalk.com/wonder-bar,operator-stated indoor/outdoor total (incl. beer garden); indoor music room substantially smaller
Harrah's Showroom at Harrah's Las Vegas,Las Vegas,NV,544,approx,https://vegasshows.guide/show/harrahs-showroom-seating-chart/,544 most-cited; sources range 351-584; table/booth seating
Jabbawockeez Theater at MGM Grand Hotel & Casino,Las Vegas,NV,356,approx,https://spotlight.vegas/info/jabbawockeez-seating-chart/,356 seats most-cited; one source says 500
Penn & Teller Theater at Rio Las Vegas,Las Vegas,NV,1475,approx,https://www.tickpick.com/penn-teller-theater-at-rio-las-vegas-seating-chart/,sources 1475-1500 seats
Saxe Theater at Planet Hollywood Inside the Miracle Mile Mall,Las Vegas,NV,423,approx,https://vegaslens.com/guide/hotels/planet-hollywood/saxe-theater-seating-chart/,286 VIP + 137 general reserved seats
South Point Showroom at South Point Hotel Casino and Spa,Las Vegas,NV,400,approx,https://www.vegas4locals.com/venue/southpoint-showroom/,400 seats
Sphere,Las Vegas,NV,20000,stated,https://en.wikipedia.org/wiki/Sphere_(venue),18600 seats; ~17600 typical seated; up to 20000 with GA floor (1400)
Thunderland Showroom at Excalibur,Las Vegas,NV,800,approx,https://vegaslens.com/guide/hotels/excalibur/thunderland-showroom-seating-chart/,~800 seats most-cited; one source says 1200
V Theater at Planet Hollywood Inside the Miracle Mile Mall,Las Vegas,NV,500,approx,https://www.headout.com/blog/v-theater-las-vegas/,500 seats theater-style; venue has multiple performance spaces
Westgate Las Vegas Resort & Casino,Las Vegas,NV,1600,approx,https://www.lasvegasadvisor.com/nightlife/international-westgate-theater/,International Theater; sources 1600-1607
Berlin,New York,NY,200,approx,https://berlin.nyc/venue/,Berlin (25 Ave A) ~200; Under A downstairs ~50-60; one source says 250
Birdland Jazz Club,New York,NY,200,approx,https://www.nycjazz.guide/venues/birdland,main room; Birdland Theater downstairs is separate ~100-cap room
Birdland Theater,New York,NY,100,approx,https://www.nycjazz.guide/venues/birdland,downstairs theater room of Birdland NYC
Blue Note Jazz Club,New York,NY,200,stated,https://en.wikipedia.org/wiki/Blue_Note_Jazz_Club,~200 seated/dining plus ~30 standing at bar
Bowery Ballroom,New York,NY,575,stated,https://en.wikipedia.org/wiki/Bowery_Ballroom,575 standing GA; less when seated
Bowery Palace,New York,NY,100,approx,https://www.nyctourism.com/nightlife/bowery-palace/,'100-seat' per NYC Tourism; former Bowery Electric space
Brooklyn Bowl,Brooklyn,NY,900,approx,https://news.pollstar.com/2024/09/26/brooklyn-bowl-marks-15-years/,concert figures 900-965; private events up to 750
Brooklyn Paramount,Brooklyn,NY,2700,stated,https://en.wikipedia.org/wiki/Brooklyn_Paramount,2700 standing / ~1350 seated; reopened 2024
BrownstoneJAZZ,Brooklyn ,NY,,unknown,,living-room jazz series in Bed-Stuy brownstone; intimate but no published capacity found
Daryl's House,Pawling,NY,200,approx,https://www.indieonthemove.com/venues/daryls-house-pawling-new-york,150-200 inside; ~2000 outdoor stage; 2013 cert. of occupancy 175 seated/318 standing
Funk 'n Waffles,Syracuse,NY,200,approx,https://afterdarkpresents.com/venues/funk-n-waffles-downtown,downtown Syracuse room; 200 consistently cited
Gramercy Theatre,New York,NY,650,stated,https://www.gramercylive.com/frequently-asked-questions/,650 max; less when seated
Irving Plaza Powered By Verizon 5G,New York,NY,1200,stated,https://en.wikipedia.org/wiki/Irving_Plaza,some listings say 1100
Lucinda's,New York,NY,150,approx,https://www.amny.com/entertainment/music/lucindas-lucinda-williams-bar-east-village/,press: 'holds about 150'; Lucinda Williams honky-tonk on Ave A
Madison Square Garden,New York,NY,20000,stated,https://en.wikipedia.org/wiki/Madison_Square_Garden,concert config ~20000; varies by stage setup (19099 basketball)
Mercury Lounge,New York,NY,250,stated,https://en.wikipedia.org/wiki/Mercury_Lounge,standing GA room
Night Club 101,New York,NY,,unknown,,East Village club at 101 Ave A (ex-Pyramid Club); no published capacity found
Sony Hall,New York,NY,1000,stated,https://sonyhall.com/about/,1000 standing / 500 seated; Blue Note Entertainment Group
The Rooftop at Pier 17,New York,NY,3500,stated,https://theseaport.nyc/the-rooftop-at-pier-17-venue/,3500 GA standing / 2266 seated
B Side Lounge,Cleveland Heights,OH,400,approx,https://www.thisiscleveland.com/locations/b-side-lounge,listing figure; basement lounge below Grog Shop - may reflect combined complex
Grog Shop,Cleveland Heights,OH,400,approx,https://venueguide.com/cleveland/data/v102709.htm,400 consistently cited
Ludlow Garage Cincinnati,Cincinnati,OH,500,approx,https://www.citybeat.com/music/cliftons-ludlow-garage-is-expanding-venue-for-500-capacity-and-updating-menu-12161506/,500 seated after expansion; one ticket-site figure 725 total
Rumba Cafe,Columbus,OH,200,stated,https://www.columbusrumbacafe.com/the-venue/,
The Winchester,Lakewood,OH,,unknown,,Winchester Music Tavern; site unreachable and only non-credible aggregator figure (1400) found - discarded
Woodlands Tavern,Columbus,OH,300,approx,https://www.indieonthemove.com/venues/woodlands-tavern-columbus-ohio,300 inside; Woodland's Backyard outdoor ~400
Dante's,Portland,OR,500,approx,https://www.portlandmusicmonth.org/venues/dantes,500 total; 400 with tables in place
Showdown Saloon,Portland,OR,150,approx,https://www.pdxpresents.com/the-showdown/,150 most-cited; one outlier source says 400
Star Theater,Portland,OR,500,approx,https://www.pdxpresents.com/star-theater/,historic 1911 theater; GA standing
Nikki Lopez Philly,Philadelphia,PA,150,approx,https://phillymusiclink.com/nikki-lopez/,upstairs show room of South St cocktail dive bar; standing only
The Foundry,Philadelphia,PA,450,approx,https://blog.ticketmaster.com/venue-faq-the-foundry-philadelphia-pa/,2nd-floor club room of The Fillmore Philadelphia
3rd and Lindsley,Nashville,TN,700,stated,https://www.3rdandlindsley.com/faq/,700 total for standing shows; ~340 seated per venue FAQ
Brooklyn Bowl Nashville,Nashville,TN,1200,stated,https://www.brooklynbowl.com/nashville/nashville-special-events-1,up to 1200 incl. bowling lanes area
Grand Ole Opry House,Nashville,TN,4372,stated,https://www.opry.com/plan-your-visit,seated; some sources round to 4400
Ryman Auditorium,Nashville,TN,2362,stated,https://en.wikipedia.org/wiki/Ryman_Auditorium,seated auditorium
The Basement,Nashville,TN,150,stated,https://www.thebasementnashville.com/basement/about-the-venue/,mostly standing room
The Basement East,Nashville,TN,400,approx,https://www.gigseekr.com/us/en/nashville/the-basement-east/venue/zaz,sister venue of The Basement
The Bluebird Cafe,Nashville,TN,90,stated,https://en.wikipedia.org/wiki/Bluebird_Caf%C3%A9,90-seat listening room; one source says 100
Antone's Nightclub,Austin,TX,400,approx,https://antonesnightclub.com/about/,main room 400; upstairs gallery ~250-300 more
Dickies Arena,Fort Worth,TX,14000,stated,https://en.wikipedia.org/wiki/Dickies_Arena,14000 concert config; 13550 basketball / 9300 rodeo
House of Blues Houston,Houston,TX,1800,stated,https://en.wikipedia.org/wiki/House_of_Blues,Wikipedia HOB table; other listings 1500-1750 for music hall
Three Links Deep Ellum,Dallas,TX,150,approx,https://cravedfw.com/2015/04/08/review-the-venue-three-links-in-deep-ellum/,sources 125-300; 125-150 most-cited
White Oak Music Hall - Upstairs,Houston,TX,200,approx,https://houstonticketbrokers.com/white-oak-music-hall-guide/,Upstairs room; sources also cite 250 standing/130 seated
Birchmere,Alexandria,VA,500,stated,https://www.birchmere.com/,music hall 500 seated w/ dinner service; Flex Stage up to ~1000 standing
Chop Suey,Seattle,WA,500,approx,https://en.wikipedia.org/wiki/Chop_Suey_(Seattle),sources 400-500; 500 most-cited
The Crocodile,Seattle,WA,750,approx,https://www.jambase.com/article/crocodile-seattle-relocation-expansion,main showroom at new (2021) Belltown location; complex also has 300-cap club + 96-seat theater
The Showbox,Seattle,WA,1150,stated,https://www.showboxpresents.com/event-rentals,Market location; ~1130 standing / 500-750 seated; Showbox SoDo is separate 1800-cap venue
Tractor,Seattle,WA,400,approx,https://www.indieonthemove.com/venues/tractor-tavern-seattle-washington,Tractor Tavern; sources range 400-680; one listing 430 standing/250 seated
High Noon Saloon,Madison,WI,400,approx,https://www.eventective.com/madison-wi/high-noon-saloon-69718.html,~400 max standing most-cited; Wikipedia lists 250
Shank Hall,Milwaukee,WI,300,stated,https://en.wikipedia.org/wiki/Shank_Hall,~300 since 1989
